Code,Date,Stock,StockLongName,Open,Close,PriceChange1,PctChange1,Volume,NumShares,20d_ret
0257,2022-08-05,UNIQUE,UNIQUE FIRE HOLDINGS BERHAD,0.21,0.225,-0.035,-0.13461538461538458,85547100,400000000.0,-0.17307692307692324
0258,2022-08-18,AGMO,AGMO HOLDINGS BERHAD,0.8,0.785,0.525,2.019230769230769,148980900,325000000.0,2.519230769230769
0259,2022-09-02,SNS,SNS NETWORK TECHNOLOGY BERHAD,0.25,0.265,0.015000000000000013,0.06000000000000005,368137300,1612779660.0,0.10000000000000009
0260,2022-09-27,PTRB,PT RESOURCES HOLDINGS BERHAD,0.37,0.37,0.010000000000000009,0.0277777777777779,179096600,535020000.0,0.02777777777777768
0261,2022-10-06,COSMOS,COSMOS TECHNOLOGY INTERNATIONAL BERHAD,0.5,0.56,0.21000000000000008,0.6000000000000003,132665500,256501300.0,0.14285714285714302
0262,2022-10-17,SUNVIEW,SUNVIEW GROUP BERHAD,0.595,0.46,0.17000000000000004,0.5862068965517244,127571100,468000000.0,0.36206896551724155
0263,2022-10-26,BETA,BETAMEK BERHAD,0.615,0.71,0.20999999999999996,0.41999999999999993,260458800,450000000.0,-0.07999999999999985
0265,2022-11-25,INFOM,INFOMINA BERHAD,0.6,0.535,0.135,0.3374999999999999,172627800,601250000.0,2.1999999999999984
0266,2022-11-30,LEFORM,LEFORM BERHAD,0.195,0.185,-0.04500000000000001,-0.19565217391304357,115619200,1481013000.0,-0.043478260869564966
0267,2022-11-23,ECA,ECA INTEGRATED SOLUTION BERHAD,0.65,0.755,0.585,3.4411764705882346,144452500,577500225.0,3.852941176470588
0268,2023-01-03,L&PBHD,L&P GLOBAL BERHAD,0.42,0.545,0.24500000000000005,0.8166666666666669,255375000,560000000.0,1.0333333333333337
0269,2023-01-06,DSS,DS SIGMA HOLDINGS BERHAD,0.81,0.62,0.06999999999999995,0.1272727272727272,221868500,480000000.0,0.14545454545454528
0270,2023-01-12,NATGATE,NATIONGATE HOLDINGS BERHAD,0.81,1.0,0.62,1.6315789473684212,654927100,2073933300.0,2.1578947368421044
0271,2023-01-16,WELLS,WELLSPIRE HOLDINGS BERHAD,0.33,0.43,0.19999999999999998,0.8695652173913042,231738700,712125000.0,0.673913043478261
0272,2023-01-18,TTVHB,TT VISION HOLDINGS BERHAD,1.49,1.28,0.94,2.764705882352941,155850500,468000000.0,2.7058823529411766
0273,2023-01-31,VLB,VESTLAND BERHAD,0.38,0.39,0.06,0.18181818181818188,352106200,944308700.0,0.1818181818181821
0275,2023-03-15,OPPSTAR,OPPSTAR BERHAD,2.05,2.43,1.8000000000000003,2.857142857142857,199558000,636200000.0,2.396825396825396
0276,2023-05-09,ADB,AUTOCOUNT DOTCOM BERHAD,1.09,0.75,0.42,1.2727272727272725,277306200,550500000.0,1.0454545454545459
0277,2023-05-29,CLOUDPT,CLOUDPOINT TECHNOLOGY BERHAD,0.75,0.515,0.135,0.35526315789473695,344378800,531600000.0,0.4342105263157894
0278,2023-06-07,EDELTEQ,EDELTEQ HOLDINGS BERHAD,0.75,0.73,0.49,2.0416666666666665,104519200,532535630.0,2.0416666666666656
0279,2023-06-01,SYNERGY,SYNERGY HOUSE BERHAD,0.38,0.35,-0.08000000000000002,-0.18604651162790697,82379900,500000000.0,0.011627906976744429
0280,2023-07-25,MBN,MYMBN BERHAD,0.28,0.27,0.060000000000000026,0.2857142857142858,103354600,386000000.0,0.04761904761904723
0281,2023-07-26,DAY3,DAYTHREE DIGITAL BERHAD,0.65,0.625,0.325,1.0833333333333335,141765500,480000000.0,0.6833333333333342
0282,2023-08-01,KGW,KGW GROUP BERHAD,0.23,0.23,0.020000000000000018,0.09523809523809534,180999600,482798567.0,0.0
0283,2023-07-17,DCHCARE,DC HEALTHCARE HOLDINGS BERHAD,0.4,0.45,0.2,0.8,262546100,996300000.0,1.0199999999999996
5270,2015-12-10,RSENA,RED SENA BERHAD,0.395,0.375,-0.125,-0.25,161358600,1000000200.0,-0.22999999999999987
5271,2016-04-19,PECCA,PECCA GROUP BERHAD,1.71,1.71,0.29000000000000004,0.204225352112676,59633500,188000000.0,0.1619718309859155
5272,2015-12-16,RANHILL,RANHILL HOLDINGS BERHAD,1.6,1.6,0.0,0.0,0,565994967.0,0.0
5273,2016-03-08,CHINHIN,CHIN HIN GROUP BERHAD,0.81,0.82,0.16999999999999993,0.2615384615384615,122528600,505888000.0,0.33846153846153837
5275,2016-03-29,BISON,BISON CONSOLIDATED BERHAD,1.09,1.17,0.06999999999999984,0.06363636363636349,68480900,310070000.0,0.07272727272727275
5276,2016-07-21,DANCO,DANCOMECH HOLDINGS BERHAD,0.8,0.8,0.050000000000000044,0.06666666666666665,38280800,149000000.0,0.41333333333333333
5277,2016-12-29,FPGROUP,FOUNDPAC GROUP BERHAD,0.61,0.66,0.12,0.2222222222222221,52326200,370000000.0,0.3518518518518512
5278,2016-12-19,RHONEMA,RHONE MA HOLDINGS BERHAD,0.82,0.87,0.12,0.15999999999999992,40140200,166000000.0,0.20666666666666655
